No!,Ne!
yes,ano
Good evening!,Dobrý večer!
"Good evening, thank you.","Dobrý večer, děkuji."
"Yes, hello.","Ano, dobrý den."
No?,Ne?
no,ne
"Yes, good evening.","Ano, dobrý večer."
"Hello, thank you!","Dobrý den, děkuji!"
Yes and no.,Ano a ne.
Good morning!,Dobré ráno!
Good afternoon.,Dobré odpoledne.
Have a nice weekend!,Hezký víkend!
Have a nice weekend.,Hezký víkend.
Good afternoon!,Dobré odpoledne!
"Thank you, and have a nice weekend.",Děkuji a hezký víkend.
"Good morning, yes.","Dobré ráno, ano."
A morning and an afternoon?,Ráno a odpoledne?
Hi!,Ahoj!
Please.,Prosím.
Goodbye!,Na shledanou!
Thanks.,Díky.
"Yes, good night.","Ano, dobrou noc."
Please!,Prosím!
Yes please.,Ano prosím.
Thanks!,Díky!
Good night!,Dobrou noc!
"Thanks, bye!","Díky, ahoj!"
"Good evening, thanks!","Dobrý večer, díky!"
"Thank you, good night.","Děkuji, dobrou noc."
"Goodbye, thank you!","Na shledanou, děkuji!"
"Bye, good night!","Ahoj, dobrou noc!"
"Thank you, goodbye.","Děkuji, na shledanou."
Thank you!,Děkuji!
Hello.,Dobrý den.
"Good night, and thank you!","Dobrou noc, a děkuji!"
Thank you and good night!,Děkuji a dobrou noc!
"Yes, hi!","Ano, ahoj!"
handsome boy,hezký kluk
good tree,dobrý strom
little boy,malý kluk
good person,dobrý člověk
big boy,velký kluk
small tree,malý strom
"pretty, small tree",hezký malý strom
big person,velký člověk
large tree,velký strom
handsome person,hezký člověk
handsome man,hezký muž
different person,jiný člověk
young man,mladý muž
old person,starý člověk
different machine,jiný stroj
old tree,starý strom
young person,mladý člověk
good machine,dobrý stroj
young tree,mladý strom
different man,jiný muž
old machine,starý stroj
large machine,velký stroj
nice house,hezký dům
large castle,velký hrad
that house,ten dům
bad evening,špatný večer
new house,nový dům
that person,ten člověk
that large castle,ten velký hrad
new tree,nový strom
old castle,starý hrad
new machine,nový stroj
bad day,špatný den
pretty castle,hezký hrad
wrong tree,špatný strom
another castle,další hrad
strange man,zvláštní muž
big Matěj,velký Matěj
old František,starý František
last person,poslední člověk
another man,další muž
strange machine,zvláštní stroj
big František,velký František
strange tree,zvláštní strom
last tree,poslední strom
young Matěj,mladý Matěj
last machine,poslední stroj
little Matěj,malý Matěj
another tree,další strom
little František,malý František
old house,starý dům
little house,malý dům
young woman,mladá žena
good woman,dobrá žena
pretty woman,hezká žena
young girl,mladé děvče
pretty young woman,hezká mladá žena
good young woman,dobrá mladá žena
good girl,dobrá holka
pretty girl,hezká holka
old woman,stará žena
different woman,jiná žena
old street,stará ulice
different thing,jiná věc
bad woman,špatná žena
different street,jiná ulice
good thing,dobrá věc
bad night,špatná noc
old thing,stará věc
bad street,špatná ulice
nice thing,hezká věc
another young girl,jiná mladá holka
bad thing,špatná věc
new street,nová ulice
the woman,ta žena
young love,mladá láska
big thing,velká věc
little girl,malá holka
new thing,nová věc
new love,nová láska
that new girl,ta nová holka
old love,stará láska
big love,velká láska
the bad thing,ta špatná věc
big girl,velká holka
pretty little thing,hezká malá věc
little woman,malá žena
another little woman,jiná malá žena
new Kateřina,nová Kateřina
another Kateřina,další Kateřina
pretty Žofie,hezká Žofie
strange thing,zvláštní věc
last street,poslední ulice
another night,další noc
strange love,zvláštní láska
strange woman,zvláštní žena
another woman,další žena
young Kateřina,mladá Kateřina
last thing,poslední věc
young Žofie,mladá Žofie
little Žofie,malá Žofie
final love,poslední láska
that new thing,ta nová věc
little thing,malá věc
good old love,stará dobrá láska
that street,ta ulice
good city,dobré město
new car,nové auto
nice car,hezké auto
new morning,nové ráno
new city,nové město
nice new car,hezké nové auto
nice city,hezké město
good wine,dobré víno
old car,staré auto
bad afternoon,špatné odpoledne
bad child,špatné dítě
new wine,nové víno
old city,staré město
old wine,staré víno
bad car,špatné auto
new child,nové dítě
bad wine,špatné víno
pretty child,hezké dítě
new girl,nové děvče
young wine,mladé víno
good animal,dobré zvíře
big car,velké auto
young animal,mladé zvíře
bad animal,špatné zvíře
old animal,staré zvíře
large animal,velké zvíře
new big girl,nové velké děvče
wrong girl,špatné děvče
old sea,staré moře
different car,jiné auto
different square,jiné náměstí
small animal,malé zvíře
big square,velké náměstí
small car,malé auto
new sea,nové moře
large sea,velké moře
new square,nové náměstí
small sea,malé moře
old square,staré náměstí
another girl,jiné děvče
strange animal,zvláštní zvíře
that animal,to zvíře
last car,poslední auto
another animal,další zvíře
strange car,zvláštní auto
that large square,to velké náměstí
that small child,to malé dítě
strange girl,zvláštní děvče
strange city,zvláštní město
another child,další dítě
last city,poslední město
last girl,poslední děvče
another city,další město
I am František!,Jsem František!
I am Matěj.,Já jsem Matěj.
I am Kateřina.,Já jsem Kateřina.
"Yes, I am Matěj.","Ano, já jsem Matěj."
"Good morning, I am Kateřina!","Dobré ráno, já jsem Kateřina!"
"No, I am Žofie.","Ne, já jsem Žofie."
I am a man.,Já jsem muž.
"Hi, I am Kateřina.","Ahoj, jsem Kateřina."
"No, I am Matěj.","Ne, Matěj jsem já."
I am a pretty child.,Jsem hezké dítě.
"Yes, I am Žofie.","Ano, jsem Žofie."
I am a child.,Já jsem dítě.
You are a child.,Jsi dítě.
Are you big?,Ty jsi velký?
You are František.,Ty jsi František.
You are Žofie.,Ty jsi Žofie.
You are pretty.,Jsi hezká.
You are a big boy!,Jsi velký kluk!
she,ona
She is Kateřina.,Ona je Kateřina.
He is Matěj.,On je Matěj.
The word is new.,To slovo je nové.
That is a bad word.,To je špatné slovo.
That is it!,To je ono!
"Yes, that's it!","Ano, to je ono!"
She is a child.,Ona je dítě.
"She is Kateřina, and he is Matěj.",Ona je Kateřina a on je Matěj.
He is handsome.,On je hezký.
"She is a woman, not a machine.","Ona je žena, ne stroj."
That's it.,To je ono.
It is a different word.,Je to jiné slovo.
That is a small child.,To je malé dítě.
That is a pretty child.,To je hezké dítě.
You are not an animal.,Nejsi zvíře.
I am not a woman.,Nejsem žena.
That city is not pretty.,To město není hezké.
The animal is young but big.,"To zvíře je mladé, ale velké."
I am not a child.,Nejsem dítě.
I am not František.,František nejsem.
You are not big.,Velký nejsi.
You are not old!,Nejsi stará!
I am not a machine!,Já nejsem stroj!
But he is different.,Ale on je jiný.
She is not big but small.,"Není velká, ale malá."
"Matěj is bad, but František is different.","Matěj je špatný, ale František je jiný."
That is not a pretty city.,To není hezké město.
A tree is not a machine!,Strom není stroj!
"No, it is not.","Ne, není."
I am not a man.,Nejsem muž.
But a night is not a day.,Ale noc není den.
But that is not a tree.,Ale to není strom.
The tree is not small but big.,"Ten strom není malý, ale velký."
"He is not a bad man, but he is different.","Není špatný člověk, ale je jiný."
František is not a bad man.,František není špatný muž.
She is a pretty woman.,To je hezká žena.
Is that street not old?,Ta ulice není stará?
She is not bad.,Není špatná.
that young woman,ta mladá žena
It is me!,Jsem to já!
Is that you?,To jsi ty?
Is it you?,Jsi to ty?
That is a different young woman.,To je jiná mladá žena.
That is a different sea.,To je jiné moře.
The child is big and the woman small.,Dítě je velké a žena malá.
Kateřina is a good and pretty woman!,Kateřina je dobrá a hezká žena!
Is the machine good?,Je ten stroj dobrý?
The little one is pretty.,Ta malá je hezká.
That man is young.,Ten muž je mladý.
"Yes, we are men.","Ano, jsme muži."
We are small.,Jsme malí.
We are big.,Jsme velcí.
Are we women?,Jsme ženy?
We are men.,My jsme muži.
