No!,Ne!
yes,ano
Good evening!,Dobrý večer!
"Good evening, thank you.","Dobrý večer, děkuji."
"Yes, hello.","Ano, dobrý den."
No?,Ne?
no,ne
"Yes, good evening.","Ano, dobrý večer."
"Hello, thank you!","Dobrý den, děkuji!"
Yes and no.,Ano a ne.
Good morning!,Dobré ráno!
Good afternoon.,Dobré odpoledne.
Have a nice weekend!,Hezký víkend!
Have a nice weekend.,Hezký víkend.
Good afternoon!,Dobré odpoledne!
"Thank you, and have a nice weekend.",Děkuji a hezký víkend.
"Good morning, yes.","Dobré ráno, ano."
A morning and an afternoon?,Ráno a odpoledne?
Hi!,Ahoj!
Please.,Prosím.
Goodbye!,Na shledanou!
Thanks.,Díky.
"Yes, good night.","Ano, dobrou noc."
Please!,Prosím!
Yes please.,Ano prosím.
Thanks!,Díky!
Good night!,Dobrou noc!
"Thanks, bye!","Díky, ahoj!"
"Good evening, thanks!","Dobrý večer, díky!"
"Thank you, good night.","Děkuji, dobrou noc."
"Goodbye, thank you!","Na shledanou, děkuji!"
"Bye, good night!","Ahoj, dobrou noc!"
"Thank you, goodbye.","Děkuji, na shledanou."
Thank you!,Děkuji!
Hello.,Dobrý den.
"Good night, and thank you!","Dobrou noc, a děkuji!"
Thank you and good night!,Děkuji a dobrou noc!
"Yes, hi!","Ano, ahoj!"
